"原始错误码或精确诊断","原始来源与原文","中文解释","英文解释","解决方向","真实原因判定","按钮约束"
"ZEUS_TASK_ENVIRONMENT_BUSY","[{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":505,""value"":""The selected task environment already has an active writable Codex turn.""}]","已有 AI 会话正在修改这个目录。请等待或停止该会话，或选择其他工作目录。","An AI conversation is already modifying this folder. Wait for it to finish, stop it, or choose another working folder.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_DIRECT_WORKSPACE_BUSY","[{""file"":""packages/local-server/src/taskWorkManagement.ts"",""line"":704,""value"":""项目目录已有可写会话，新运行不会隐式共享写入现场。""}]","已有 AI 会话正在修改这个目录。请等待或停止该会话，或选择其他工作目录。","An AI conversation is already modifying this folder. Wait for it to finish, stop it, or choose another working folder.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORKSPACE_NESTED_BUSY","[{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":517,""value"":""请先回收嵌套仓库的 Worktree：${nested.map((entry) => entry.repositoryRelativePath).join('、')}""}]","嵌套仓库仍有独立工作目录，请先完成并移除这些子目录，再处理上层目录。","Nested repositories still have separate working folders. Finish and remove those folders before handling the parent folder.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORKTREE_UNAVAILABLE","[{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":636,""value"":""Task worktree is not available.""},{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":1149,""value"":""Task worktree is not available.""},{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":1178,""value"":""Task worktree is not available.""},{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":1221,""value"":""Task worktree is not available.""},{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":1370,""value"":""Task worktree is unavailable before delivery preparation completed.""},{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":1377,""value"":""冲突处理开发线的 Worktree 不可用。""}]","任务所需的独立工作目录不可用。请检查目录是否存在及访问权限。","The task’s separate working folder is unavailable. Check that it exists and that access is allowed.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_INTEGRATION_PATH_UNAVAILABLE","[{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":1538,""value"":""Integration worktree is unavailable.""},{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":1557,""value"":""Integration worktree is unavailable.""},{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":2010,""value"":""Integration worktree is unavailable.""}]","任务所需的独立工作目录不可用。请检查目录是否存在及访问权限。","The task’s separate working folder is unavailable. Check that it exists and that access is allowed.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_RUNTIME_CLEANUP_BUSY","[{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":775,""value"":""已向活动 Runtime 发出终止请求，请等待进程树进入确认终态后重试任务状态变更${persistedHint}""}]","正在停止此任务的运行程序，暂时不能更改任务状态。请等待停止完成。","Programs running for this task are being stopped. Wait for them to stop before changing the task status.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_INTEGRATION_NOT_MERGED","[{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":1609,""value"":""Merge the task branch into its source branch before pushing.""}]","任务分支还没有合入来源分支，请先完成合入再推送。","The task branch has not been merged into its source branch. Merge it before pushing.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_PUSH_ATTACHMENT_UNAVAILABLE","[{""file"":""packages/local-server/src/taskRuntimeOperations.ts"",""line"":336,""value"":""以下附件不可用，未创建会话：${unavailable.join('、')}""},{""file"":""packages/local-server/src/taskRuntimeOperations.ts"",""line"":378,""value"":""附件“${attachment.name}”的资源类型与真实文件不一致，未创建会话。""},{""file"":""packages/local-server/src/taskRuntimeOperations.ts"",""line"":383,""value"":""附件“${attachment.name}”已在粘贴后发生变化，未创建会话。""},{""file"":""packages/local-server/src/taskRuntimeOperations.ts"",""line"":386,""value"":""附件“${attachment.name}”不是受支持的真实图片，未创建会话。""},{""file"":""packages/local-server/src/taskRuntimeOperations.ts"",""line"":616,""value"":""${input.kindLabel} ${option.taskCode} 的附件“${name}”已失效，未创建会话。""},{""file"":""packages/local-server/src/taskRuntimeOperations.ts"",""line"":657,""value"":""附件“${attachment.name}”缺少服务端确认的真实路径，未创建会话。""}]","部分附件无法读取，因此没有创建对话。请检查或移除这些附件。","Some attachments cannot be read, so the conversation was not created. Check or remove those attachments.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_DELIVERABLE_CORRUPT","[{""file"":""packages/local-server/src/taskWorkManagement.ts"",""line"":245,""value"":""交付物正文完整性校验失败。""}]","交付物内容未通过完整性检查，暂时不能使用。请查看详情并重新生成交付物。","The deliverable failed its integrity check and cannot be used. See the details and generate it again.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_STAGE_INPUT_UNAVAILABLE","[{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":2356,""value"":""已验收上游交付物 ${deliverable.id} 无法完整读取，阶段启动已停止：${redacted.text}""}]","无法完整读取上一阶段的交付物，因此当前阶段没有启动。请先检查该交付物。","The previous stage’s deliverable could not be fully read, so this stage did not start. Check that deliverable first.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_CONVERSATION_REQUEST_SUPERSEDED","[{""file"":""packages/local-server/src/taskWorkManagement.ts"",""line"":372,""value"":""该历史待办已由原任务会话接管，请在会话中处理。""}]","这个待办已移到原任务对话中，请前往该对话处理。","This request has moved to the original task conversation. Handle it there.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_DECISION_KIND_INVALID","[{""file"":""packages/local-server/src/taskWorkManagement.ts"",""line"":376,""value"":""该待办必须通过交付物验收动作处置。""}]","这个待办需要验收交付物，请使用接受或要求修改的操作。","This request requires deliverable review. Use the accept or request-changes action.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_DELIVERABLE_EMPTY","[{""file"":""packages/local-server/src/taskWorkManagement.ts"",""line"":761,""value"":""Agent 会话已结束，但没有可沉淀的正式输出。""}]","AI 已结束处理，但没有生成可提交的交付物。请查看会话内容后决定下一步。","The AI finished without producing a deliverable. Review the conversation before deciding what to do next.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
